model,lang,level,score_mean,score_std,score_min,score_max,score_count,latency_mean,latency_median,latency_std,is_success_sum,stability_rank,efficiency
GPT-5.2,English,B2,7.93,1.72,0,10,30,12.86,11.48,6.66,30,7.0,0.559694180704441
GPT-5.2,Polish,A1,9.0,0.91,7,10,30,7.63,1.94,8.08,30,1.0,0.7547320061255742
GPT-5.2,Polish,B2,8.07,1.34,5,10,30,10.07,8.46,9.04,30,3.0,0.6335830015313935
GPT-5.2,Russian,A1,7.23,3.58,0,10,30,8.78,1.97,9.76,29,23.0,0.6044154670750383
GPT-5.2,Russian,B2,8.1,1.06,5,10,30,9.42,7.88,8.57,30,2.0,0.6506140888208269
Gemini 3 Flash,English,B2,7.57,2.57,0,10,30,1.31,1.28,0.2,30,15.0,0.7998081163859111
Gemini 3 Flash,Polish,A1,9.03,1.43,4,10,30,1.33,1.27,0.23,30,5.0,0.901548698315467
Gemini 3 Flash,Polish,B2,8.33,1.81,5,10,30,1.46,1.49,0.21,30,8.0,0.8495624808575803
Gemini 3 Flash,Russian,A1,7.63,3.44,0,10,30,1.27,1.22,0.35,29,22.0,0.8049269525267995
Gemini 3 Flash,Russian,B2,9.07,1.66,3,10,30,13.06,1.42,60.34,30,6.0,0.6349
Llama 4,English,B2,5.17,3.14,0,10,30,1.21,1.17,0.64,30,19.0,0.6341052067381316
Llama 4,Polish,A1,5.83,3.7,1,10,30,1.28,1.28,0.52,30,24.0,0.6786972434915772
Llama 4,Polish,B2,4.97,2.82,1,10,30,1.49,1.27,0.85,30,17.0,0.6136733537519142
Llama 4,Russian,A1,4.77,3.31,0,10,30,1.08,0.92,0.66,30,21.0,0.6090914241960184
Llama 4,Russian,B2,6.0,3.1,1,10,30,1.1,1.03,0.6,30,18.0,0.6947320061255742
Mistral Large 3,English,B2,6.97,2.2,0,10,30,1.88,1.78,0.68,30,10.0,0.7447147013782541
Mistral Large 3,Polish,A1,7.0,2.52,3,10,30,2.01,1.94,0.6,30,13.0,0.7438284839203675
Mistral Large 3,Polish,B2,6.27,2.16,2,10,30,2.95,2.92,1.05,30,9.0,0.6711358346094946
Mistral Large 3,Russian,A1,4.27,3.3,0,10,30,1.79,1.92,0.6,29,20.0,0.5577820826952526
Mistral Large 3,Russian,B2,5.97,1.38,4,9,30,2.26,2.4,0.53,30,4.0,0.6659857580398162
Qwen 3 Max,English,B2,6.57,2.25,0,10,30,3.66,3.61,1.24,30,11.0,0.6758264931087289
Qwen 3 Max,Polish,A1,6.87,2.54,2,10,30,4.14,4.1,0.77,30,14.0,0.6858004594180704
Qwen 3 Max,Polish,B2,7.5,2.29,3,10,30,5.34,5.58,1.15,30,12.0,0.7023353751914241
Qwen 3 Max,Russian,A1,7.4,3.81,0,10,30,3.23,3.24,1.4,27,25.0,0.7438039816232772
Qwen 3 Max,Russian,B2,7.57,2.6,2,10,30,4.09,3.96,1.12,30,16.0,0.7359490045941807
